# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskExecutionTotalTimeUs,1779645944026000000,1779645972438000000,8477
writeAction.count,1779645944026000000,1779645972438000000,14
parser.HTML.time.ns,1779645944026000000,1779645972438000000,2845354
lexer.HTML.size.bytes,1779645944026000000,1779645972438000000,1
parser.VTL.time.ns,1779645944026000000,1779645972438000000,4121994
DiskQueryRelay.tasksRequested,1779645944026000000,1779645972438000000,115
lexer.VTL.time.ns,1779645944026000000,1779645972438000000,975104
writeAction.max.wait.ms,1779645944026000000,1779645972438000000,63
parser.VTL.size.bytes,1779645944026000000,1779645972438000000,134
DiskQueryRelay.taskWaitingTotalTimeUs,1779645944026000000,1779645972438000000,32942
lexer.VTL.size.bytes,1779645944026000000,1779645972438000000,134
FilePageCache.disposedBuffers,1779645944026000000,1779645972438000000,388
FileChannelInterruptsRetryer.totalRetriedAttempts,1779645944026000000,1779645972438000000,0
FilePageCache.totalPageDisposalsUs,1779645944026000000,1779645972438000000,2640
DirectByteBufferAllocator.hits,1779645944026000000,1779645972438000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1779645944026000000,1779645972438000000,41943040
StorageLockContext.competingThreads.avg,1779645944026000000,1779645972438000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1779645944026000000,1779645972438000000,0
FilePageCache.maxRegisteredFiles,1779645944026000000,1779645972438000000,1078
DirectByteBufferAllocator.reclaimed,1779645944026000000,1779645972438000000,43
FilePageCache.uncachedFileAccess,1779645944026000000,1779645972438000000,232
StorageLockContext.competingThreads.max,1779645944026000000,1779645972438000000,0
FilePageCache.pageLoads,1779645944026000000,1779645972438000000,388
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1779645944026000000,1779645972438000000,41943040
FilePageCache.maxCacheSizeInBytes,1779645944026000000,1779645972438000000,403701760
FilePageCache.pageFastCacheHits,1779645944026000000,1779645972438000000,7718
FilePageCache.totalPageLoadsUs,1779645944026000000,1779645972438000000,398814
DirectByteBufferAllocator.disposed,1779645944026000000,1779645972438000000,345
StorageLockContext.competingThreads.90P,1779645944026000000,1779645972438000000,0
DirectByteBufferAllocator.misses,1779645944026000000,1779645972438000000,385
FilePageCache.pageHits,1779645944026000000,1779645972438000000,0
FilePageCache.capacityInBytes,1779645944026000000,1779645972438000000,629145600
AWTEventQueue.dispatchTimeTotalNS,1779645944026000000,1779645972438000000,3915544789
NonBlockingReadAction.finalizedExecutionsCount,1779645944026000000,1779645972438000000,12
NonBlockingReadAction.failedExecutionTimeUs,1779645944026000000,1779645972438000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1779645944026000000,1779645972438000000,272405
NonBlockingReadAction.failedExecutionsCount,1779645944026000000,1779645972438000000,0
Indexing.writesQueuedAvg,1779645944026000000,1779645972438000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1779645944026000000,1779645972438000000,0.0
Indexes.entries.lookupDurationAvgMs,1779645944026000000,1779645972438000000,0.0
Indexes.stubs.lookupDuration90PMs,1779645944026000000,1779645972438000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1779645944026000000,1779645972438000000,0
Indexing.cache.totalCacheMisses,1779645944026000000,1779645972438000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1779645944026000000,1779645972438000000,0
Indexes.stubs.lookupDurationMaxMs,1779645944026000000,1779645972438000000,0.0
Indexing.cache.totalCacheEvicted,1779645944026000000,1779645972438000000,0
Indexes.entries.lookups,1779645944026000000,1779645972438000000,1
Indexes.allKeys.lookupDuration90PMs,1779645944026000000,1779645972438000000,0.0
Indexes.stubs.lookupDurationAvgMs,1779645944026000000,1779645972438000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1779645944026000000,1779645972438000000,0
Indexes.allKeys.lookupDurationAvgMs,1779645944026000000,1779645972438000000,0.0
Indexing.totalTimeIndexersSleptMs,1779645944026000000,1779645972438000000,0
Indexing.writesQueuedMin,1779645944026000000,1779645972438000000,0
Indexes.stubs.lookups,1779645944026000000,1779645972438000000,0
Indexes.entries.lookupDuration90PMs,1779645944026000000,1779645972438000000,0.0
Indexes.entries.lookupDurationMaxMs,1779645944026000000,1779645972438000000,0.0
Indexing.cache.totalCacheAccesses,1779645944026000000,1779645972438000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1779645944026000000,1779645972438000000,0
Indexes.allKeys.lookups,1779645944026000000,1779645972438000000,0
Indexing.writesQueuedMax,1779645944026000000,1779645972438000000,0
workspaceModel.global.apply.state.to.project.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1779645944026000000,1779645972438000000,0
jps.library.entities.serializer.save.entities.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1779645944026000000,1779645972438000000,7
workspaceModel.load.cache.from.file.ms,1779645944026000000,1779645972438000000,90
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1779645944026000000,1779645972438000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1779645944026000000,1779645972438000000,1
jps.app.storage.content.reader.load.component.ms,1779645944026000000,1779645972438000000,4
workspaceModel.load.cache.metadata.from.file.ms,1779645944026000000,1779645972438000000,7
jps.global.get.library.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1779645944026000000,1779645972438000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1779645944026000000,1779645972438000000,3
workspaceModel.mutableEntityStorage.has.same.entities.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1779645944026000000,1779645972438000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1779645944026000000,1779645972438000000,0
jps.app.storage.content.writer.save.component.ms,1779645944026000000,1779645972438000000,50
workspaceModel.mutableEntityStorage.entities.ms,1779645944026000000,1779645972438000000,0
jps.global.get.libraries.ms,1779645944026000000,1779645972438000000,125
jps.global.initialize.library.bridges.ms,1779645944026000000,1779645972438000000,1
jps.library.entities.serializer.load.entities.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1779645944026000000,1779645972438000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1779645944026000000,1779645972438000000,0
workspaceModel.save.cache.to.file.ms,1779645944026000000,1779645972438000000,25
jps.save.global.entities.ms,1779645944026000000,1779645972438000000,73
workspaceModel.mutableEntityStorage.remove.entity.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1779645944026000000,1779645972438000000,0
jps.global.handle.before.change.events.ms,1779645944026000000,1779645972438000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1779645944026000000,1779645972438000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.instances.count,1779645944026000000,1779645972438000000,6
jps.global.get.library.by.name.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1779645944026000000,1779645972438000000,0
jps.global.initialize.library.bridges.after.loading.ms,1779645944026000000,1779645972438000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1779645944026000000,1779645972438000000,12
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1779645944026000000,1779645972438000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1779645944026000000,1779645972438000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1779645944026000000,1779645972438000000,0
jps.global.handle.changed.events.ms,1779645944026000000,1779645972438000000,0
workspaceModel.global.updates.ms,1779645944026000000,1779645972438000000,14
workspaceModel.mutableEntityStorage.entities.by.source.ms,1779645944026000000,1779645972438000000,1
workspaceModel.sync.entities.ms,1779645944026000000,1779645972438000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1779645944026000000,1779645972438000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1779645944026000000,1779645972438000000,1
workspaceModel.global.updates.count,1779645944026000000,1779645972438000000,1
workspaceModel.do.save.caches.ms,1779645944026000000,1779645972438000000,0
jps.load.initial.state.ms,1779645944026000000,1779645972438000000,20
workspaceModel.moduleManagerBridge.create.module.instance.ms,1779645944026000000,1779645972438000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1779645944026000000,1779645972438000000,0
